SOHD,NGHD,MAKH,MANV,TRIGIA
1001,23/07/2006,KH01,NV01,"320,000"
1002,12/8/2006,KH01,NV02,"840,000"
1003,23/08/2006,KH02,NV01,"100,000"
1004,1/9/2006,KH02,NV01,"180,000"
1005,20/10/2006,KH01,NV02,"3,800,000"
1006,16/10/2006,KH01,NV03,"2,430,000"
1007,28/10/2006,KH03,NV03,"510,000"
1008,28/10/2006,KH01,NV03,"440,000"
1009,28/10/2006,KH03,NV04,"200,000"
1010,1/11/2006,KH01,NV01,"5,200,000"
1011,4/11/2006,KH04,NV03,"250,000"
1012,30/11/2006,KH05,NV03,"21,000"
1013,12/12/2006,KH06,NV01,"5,000"
1014,31/12/2006,KH03,NV02,"3,150,000"
1015,1/1/2007,KH06,NV01,"910,000"
1016,1/1/2007,KH07,NV02,"12,500"
1017,2/1/2007,KH08,NV03,"35,000"
1018,13/01/2007,KH08,NV03,"330,000"
1019,13/01/2007,KH01,NV03,"30,000"
1020,14/01/2007,KH09,NV04,"70,000"
1021,16/01/2007,KH10,NV03,"67,500"
1022,16/01/2007,Null,NV03,"7,000"
1023,17/01/2007,Null,NV01,"330,000"
